Temp UID,SF 1.0 Object,SF 1.0 Field,SF 2.0 Object,SF 2.0 Field,Ignore,temp,Filter Logic (SOQL),Transformation Logic (JSON)
Account-Id,Account,Id,Account,Id,,,,
Account-Name,Account,Name,Account,Name,,,,
Account-OwnerId,Account,OwnerId,Account,Owner.External_Id__c,,,,
Account-RecordTypeId,Account,RecordTypeId,Account,RecordTypeId,,,,
Account-Sales__c,Account,Sales__c,Account,Sales__c,,,,
Account-Type,Account,Type,Account,Type,,,,
Account-Status__c,Account,Status__c,Account,Status__c,,,,
Account-Business_Unit__c,Account,Business_Unit__c,Account,Business_Unit__c,,,,
Account-AccountSource,Account,AccountSource,Account,AccountSource,,,,
Account-,Account,,Account,SL_Total_Upfront__c,,,,
Account-,Account,,Account,SL_Upfront_Consumed__c,,,,
Account-,Account,,Account,SL_Upfront_Remaning__c,,,,
Account-,Account,,Account,Brand_Code__c,,,,
Account-percent_change__c,Account,percent_change__c,Account,percent_change__c,,,,
Account-sales_previous__c,Account,sales_previous__c,Account,sales_previous__c,,,,
Account-Data_Warehouse_Id__c,Account,Data_Warehouse_Id__c,Account,Data_Warehouse_Id__c,,,,
Account-CIL_Target_Current_Fiscal_Year__c,Account,CIL_Target_Current_Fiscal_Year__c,Account,CIL_Target_Current_Fiscal_Year__c,,,,
Account-ATV_Target_Current_Fiscal_Year__c,Account,ATV_Target_Current_Fiscal_Year__c,Account,ATV_Target_Current_Fiscal_Year__c,,,,
Account-CIL_Target_Previous_Fiscal_Year__c,Account,CIL_Target_Previous_Fiscal_Year__c,Account,CIL_Target_Previous_Fiscal_Year__c,,,,
Account-Media_Target_Current_Fiscal_Year__c,Account,Media_Target_Current_Fiscal_Year__c,Account,Media_Target_Current_Fiscal_Year__c,,,,
Account-Media_Target_Previous_Fiscal_Year__c,Account,Media_Target_Previous_Fiscal_Year__c,Account,Media_Target_Previous_Fiscal_Year__c,,,,
Account-Upfront_Target_Current_Fiscal_Year__c,Account,Upfront_Target_Current_Fiscal_Year__c,Account,Upfront_Target_Current_Fiscal_Year__c,,,,
Account-Upfront_Target_Previous_Fiscal_Year__c,Account,Upfront_Target_Previous_Fiscal_Year__c,Account,Upfront_Target_Previous_Fiscal_Year__c,,,,
Account-ATV_Target_Previous_Fiscal_Year__c,Account,ATV_Target_Previous_Fiscal_Year__c,Account,ATV_Target_Previous_Fiscal_Year__c,,,,
Account-Tier__c,Account,Tier__c,Account,Tier__c,,,,
Account-Comms_Client_Pricing_Type__c,Account,Comms_Client_Pricing_Type__c,Account,Comms_Client_Pricing_Type__c,,,,
Account-BCC_Target_Current_Fiscal_Year__c,Account,BCC_Target_Current_Fiscal_Year__c,Account,BCC_Target_Current_Fiscal_Year__c,,,,
Account-BCC_Target_Previous_Fiscal_Year__c,Account,BCC_Target_Previous_Fiscal_Year__c,Account,BCC_Target_Previous_Fiscal_Year__c,,,,
Brand__c-Id,Brand__c,Id,Account,Id,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Brand__c-Name,Brand__c,Name,Account,Name,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Brand__c-Brand_Code__c,Brand__c,Brand_Code__c,Account,Brand_Code__c,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Brand__c-Status__c,Brand__c,Status__c,Account,Status__c,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Account-IsDeleted,Account,IsDeleted,Account,IsDeleted,,,,
Account-MasterRecordId,Account,MasterRecordId,Account,MasterRecordId,,,,
Account-ParentId,Account,ParentId,Account,ParentId,,,,
Account-BillingStreet,Account,BillingStreet,Account,BillingStreet,,,,
Account-BillingCity,Account,BillingCity,Account,BillingCity,,,,
Account-BillingState,Account,BillingState,Account,BillingState,,,,
Account-BillingPostalCode,Account,BillingPostalCode,Account,BillingPostalCode,,,,
Account-BillingCountry,Account,BillingCountry,Account,BillingCountry,,,,
Account-BillingLatitude,Account,BillingLatitude,Account,BillingLatitude,,,,
Account-BillingLongitude,Account,BillingLongitude,Account,BillingLongitude,,,,
Account-BillingGeocodeAccuracy,Account,BillingGeocodeAccuracy,Account,BillingGeocodeAccuracy,,,,
Account-BillingAddress,Account,BillingAddress,Account,BillingAddress,,,,
Account-ShippingStreet,Account,ShippingStreet,Account,ShippingStreet,,,,
Account-ShippingCity,Account,ShippingCity,Account,ShippingCity,,,,
Account-ShippingState,Account,ShippingState,Account,ShippingState,,,,
Account-ShippingPostalCode,Account,ShippingPostalCode,Account,ShippingPostalCode,,,,
Account-ShippingCountry,Account,ShippingCountry,Account,ShippingCountry,,,,
Account-ShippingLatitude,Account,ShippingLatitude,Account,ShippingLatitude,,,,
Account-ShippingLongitude,Account,ShippingLongitude,Account,ShippingLongitude,,,,
Account-ShippingGeocodeAccuracy,Account,ShippingGeocodeAccuracy,Account,ShippingGeocodeAccuracy,,,,
Account-ShippingAddress,Account,ShippingAddress,Account,ShippingAddress,,,,
Account-Phone,Account,Phone,Account,Phone,,,,
Account-Fax,Account,Fax,Account,Fax,,,,
Account-AccountNumber,Account,AccountNumber,Account,AccountNumber,,,,
Account-Website,Account,Website,Account,Website,,,,
Account-PhotoUrl,Account,PhotoUrl,Account,PhotoUrl,,,,
Account-Sic,Account,Sic,Account,Sic,,,,
Account-Industry,Account,Industry,Account,Industry,,,,
Account-AnnualRevenue,Account,AnnualRevenue,Account,AnnualRevenue,,,,
Account-NumberOfEmployees,Account,NumberOfEmployees,Account,NumberOfEmployees,,,,
Account-Ownership,Account,Ownership,Account,Ownership,,,,
Account-TickerSymbol,Account,TickerSymbol,Account,TickerSymbol,,,,
Account-Description,Account,Description,Account,Description,,,,
Account-Rating,Account,Rating,Account,Rating,,,,
Account-Site,Account,Site,Account,Site,,,,
Account-OwnerId,Account,OwnerId,Account,OwnerId,,,,
Account-CreatedDate,Account,CreatedDate,Account,CreatedDate,,,,
Account-CreatedById,Account,CreatedById,Account,CreatedById,,,,
Account-LastModifiedDate,Account,LastModifiedDate,Account,LastModifiedDate,,,,
Account-LastModifiedById,Account,LastModifiedById,Account,LastModifiedById,,,,
Account-SystemModstamp,Account,SystemModstamp,Account,SystemModstamp,,,,
Account-LastActivityDate,Account,LastActivityDate,Account,LastActivityDate,,,,
Account-LastViewedDate,Account,LastViewedDate,Account,LastViewedDate,,,,
Account-LastReferencedDate,Account,LastReferencedDate,Account,LastReferencedDate,,,,
Account-Jigsaw,Account,Jigsaw,Account,Jigsaw,,,,
Account-JigsawCompanyId,Account,JigsawCompanyId,Account,JigsawCompanyId,,,,
Account-SicDesc,Account,SicDesc,Account,SicDesc,,,,
Account-IsPriorityRecord,Account,IsPriorityRecord,Account,IsPriorityRecord,,,,
Account-AccountType__c,Account,AccountType__c,Account,AccountType__c,,,,
Account-Pricing_Tier__c,Account,Pricing_Tier__c,Account,Pricing_Tier__c,,,,
Account-Type_of_Client__c,Account,Type_of_Client__c,Account,Type_of_Client__c,,,,
Account-Initial_Contract_Start_Date__c,Account,Initial_Contract_Start_Date__c,Account,Initial_Contract_Start_Date__c,,,,
Account-Current_Effective_Contract_Start_Date__c,Account,Current_Effective_Contract_Start_Date__c,Account,Current_Effective_Contract_Start_Date__c,,,,
Account-Current_Effective_Contract_End_Date__c,Account,Current_Effective_Contract_End_Date__c,Account,Current_Effective_Contract_End_Date__c,,,,
Account-Salesperson__c,Account,Salesperson__c,Account,Salesperson__c,,,,
Account-Upsell_Contract_Date__c,Account,Upsell_Contract_Date__c,Account,Upsell_Contract_Date__c,,,,
Account-Billing_Street_secondary__c,Account,Billing_Street_secondary__c,Account,Billing_Street_secondary__c,,,,
Account-Billing_City_secondary__c,Account,Billing_City_secondary__c,Account,Billing_City_secondary__c,,,,
Account-Billing_State_secondary__c,Account,Billing_State_secondary__c,Account,Billing_State_secondary__c,,,,
Account-Billing_Zip_secondary__c,Account,Billing_Zip_secondary__c,Account,Billing_Zip_secondary__c,,,,
Account-Non_Endemic__c,Account,Non_Endemic__c,Account,Non_Endemic__c,,,,
Account-Broker_Name__c,Account,Broker_Name__c,Account,Broker_Name__c,,,,
Account-Auto_Renewal__c,Account,Auto_Renewal__c,Account,Auto_Renewal__c,,,,
Account-New_Business_Target_Account__c,Account,New_Business_Target_Account__c,Account,New_Business_Target_Account__c,,,,
Account-D_U_N_S_Number__c,Account,D_U_N_S_Number__c,Account,D_U_N_S_Number__c,,,,
Account-Legal_Name__c,Account,Legal_Name__c,Account,Legal_Name__c,,,,
Account-Auth_Sys_Account_Name__c,Account,Auth_Sys_Account_Name__c,Account,Auth_Sys_Account_Name__c,,,,
Account-Fiscal_Budget_Planning_Start__c,Account,Fiscal_Budget_Planning_Start__c,Account,Fiscal_Budget_Planning_Start__c,,,,
Account-FY_Start_Date__c,Account,FY_Start_Date__c,Account,FY_Start_Date__c,,,,
Account-X18_Character_Account_ID__c,Account,X18_Character_Account_ID__c,Account,X18_Character_Account_ID__c,,,,
Account-Annual_Budget__c,Account,Annual_Budget__c,Account,Annual_Budget__c,,,,
Account-Autorenewal__c,Account,Autorenewal__c,Account,Autorenewal__c,,,,
Account-Brands__c,Account,Brands__c,Account,Brands__c,,,,
Account-Bzz_Type__c,Account,Bzz_Type__c,Account,Bzz_Type__c,,,,
Account-Client_Health__c,Account,Client_Health__c,Account,Client_Health__c,,,,
Account-Client_ID_Dynamics__c,Account,Client_ID_Dynamics__c,Account,Client_ID_Dynamics__c,,,,
Account-Client__c,Account,Client__c,Account,Client__c,,,,
Account-Comms_Account_Number__c,Account,Comms_Account_Number__c,Account,Comms_Account_Number__c,,,,
Account-Max_Oppty_Probability__c,Account,Max_Oppty_Probability__c,Account,Max_Oppty_Probability__c,,,,
Account-Consumer_Markets_Team__c,Account,Consumer_Markets_Team__c,Account,Consumer_Markets_Team__c,,,,
Account-Contract_Status__c,Account,Contract_Status__c,Account,Contract_Status__c,,,,
Account-Department_1__c,Account,Department_1__c,Account,Department_1__c,,,,
Account-Digital_Extras_Opt_In__c,Account,Digital_Extras_Opt_In__c,Account,Digital_Extras_Opt_In__c,,,,
Account-Dynamics_ID__c,Account,Dynamics_ID__c,Account,Dynamics_ID__c,,,,
Account-Engagement_Stage__c,Account,Engagement_Stage__c,Account,Engagement_Stage__c,,,,
Account-Financial_Year_End__c,Account,Financial_Year_End__c,Account,Financial_Year_End__c,,,,
Account-Insights_Master_Agreement_Commence_Date__c,Account,Insights_Master_Agreement_Commence_Date__c,Account,Insights_Master_Agreement_Commence_Date__c,,,,
Account-K_Number__c,Account,K_Number__c,Account,K_Number__c,,,,
Account-Kroger_Department__c,Account,Kroger_Department__c,Account,Kroger_Department__c,,,,
Account-Kroger_Supplier_Name__c,Account,Kroger_Supplier_Name__c,Account,Kroger_Supplier_Name__c,,,,
Account-Level_of_Shop_Subscription__c,Account,Level_of_Shop_Subscription__c,Account,Level_of_Shop_Subscription__c,,,,
Account-M6_Legacy_Id__c,Account,M6_Legacy_Id__c,Account,M6_Legacy_Id__c,,,,
Account-MIA_Legacy_Id__c,Account,MIA_Legacy_Id__c,Account,MIA_Legacy_Id__c,,,,
Account-MIA_Mission__c,Account,MIA_Mission__c,Account,MIA_Mission__c,TRUE,,,
Account-Manufacturer_Code__c,Account,Manufacturer_Code__c,Account,Manufacturer_Code__c,,,,
Account-Manufacturer_Name__c,Account,Manufacturer_Name__c,Account,Manufacturer_Name__c,,,,
Account-Mission__c,Account,Mission__c,Account,Mission__c,TRUE,,,
Account-NBD_Comments__c,Account,NBD_Comments__c,Account,NBD_Comments__c,,,,
Account-NameExternalIdDELETEME__c,Account,NameExternalIdDELETEME__c,Account,NameExternalIdDELETEME__c,,,,
Account-Partner_Product_Description__c,Account,Partner_Product_Description__c,Account,Partner_Product_Description__c,,,,
Account-Receive_Expectations__c,Account,Receive_Expectations__c,Account,Receive_Expectations__c,,,,
Account-SFCUS__c,Account,SFCUS__c,Account,SFCUS__c,,,,
Account-Saas_Optics_ID__c,Account,Saas_Optics_ID__c,Account,Saas_Optics_ID__c,,,,
Account-Segmentation__c,Account,Segmentation__c,Account,Segmentation__c,,,,
Account-ShopXpress__c,Account,ShopXpress__c,Account,ShopXpress__c,,,,
Account-Shop_Client__c,Account,Shop_Client__c,Account,Shop_Client__c,,,,
Account-Shop_Funding__c,Account,Shop_Funding__c,Account,Shop_Funding__c,,,,
Account-Shop_User__c,Account,Shop_User__c,Account,Shop_User__c,,,,
Account-Subscription_Commencement_Date__c,Account,Subscription_Commencement_Date__c,Account,Subscription_Commencement_Date__c,,,,
Account-Supplier__c,Account,Supplier__c,Account,Supplier__c,,,,
Account-Top_Level_Account__c,Account,Top_Level_Account__c,Account,Top_Level_Account__c,,,,
Account-X84_51_Procurement__c,Account,X84_51_Procurement__c,Account,X84_51_Procurement__c,,,,
Account-Master_Flag__c,Account,Master_Flag__c,Account,Master_Flag__c,,,,
Account-master_id__c,Account,master_id__c,Account,master_id__c,,,,
Account-Partnership_Client_Type__c,Account,Partnership_Client_Type__c,Account,Partnership_Client_Type__c,,,,
Account-Kroger_POS_Client_Name__c,Account,Kroger_POS_Client_Name__c,Account,Kroger_POS_Client_Name__c,,,,
Account-Active_Directory_Client_Name__c,Account,Active_Directory_Client_Name__c,Account,Active_Directory_Client_Name__c,,,,
Account-Client_Segment__c,Account,Client_Segment__c,Account,Client_Segment__c,,,,
Account-Partner_CPG_Ids__c,Account,Partner_CPG_Ids__c,Account,Partner_CPG_Ids__c,,,,
Account-Partner_CPGs__c,Account,Partner_CPGs__c,Account,Partner_CPGs__c,,,,
Account-Partner_CPG_Market6_Ids__c,Account,Partner_CPG_Market6_Ids__c,Account,Partner_CPG_Market6_Ids__c,,,,
Account-PO_Required_Insights__c,Account,PO_Required_Insights__c,Account,PO_Required_Insights__c,,,,
Account-Non_Billable_Client__c,Account,Non_Billable_Client__c,Account,Non_Billable_Client__c,,,,
Account-Record_Type_Name__c,Account,Record_Type_Name__c,Account,Record_Type_Name__c,,,,
Account-M6_Customer_ID_Series__c,Account,M6_Customer_ID_Series__c,Account,M6_Customer_ID_Series__c,,,,
Account-Account_Activity_Comments__c,Account,Account_Activity_Comments__c,Account,Account_Activity_Comments__c,,,,
Account-Associated_Stratum_Contract_Account__c,Account,Associated_Stratum_Contract_Account__c,Account,Associated_Stratum_Contract_Account__c,,,,
Account-CAAM_Group_Autonumber__c,Account,CAAM_Group_Autonumber__c,Account,CAAM_Group_Autonumber__c,,,,
Account-CAAM_Group_Final__c,Account,CAAM_Group_Final__c,Account,CAAM_Group_Final__c,,,,
Account-Comms_Account_Activity_Comments__c,Account,Comms_Account_Activity_Comments__c,Account,Comms_Account_Activity_Comments__c,,,,
Account-Comms_Operating_Parent_MFG_Code__c,Account,Comms_Operating_Parent_MFG_Code__c,Account,Comms_Operating_Parent_MFG_Code__c,,,,
Account-Comms_Operating_Parent_MFG_Name__c,Account,Comms_Operating_Parent_MFG_Name__c,Account,Comms_Operating_Parent_MFG_Name__c,,,,
Account-Comms_Operating_Parent_MFG_SF_Acc__c,Account,Comms_Operating_Parent_MFG_SF_Acc__c,Account,Comms_Operating_Parent_MFG_SF_Acc__c,,,,
Account-Comms_Stratum_Effective_Date__c,Account,Comms_Stratum_Effective_Date__c,Account,Comms_Stratum_Effective_Date__c,,,,
Account-Comms_Stratum_Price_Other__c,Account,Comms_Stratum_Price_Other__c,Account,Comms_Stratum_Price_Other__c,,,,
Account-Comms_Stratum_Pricing_Termination_Date__c,Account,Comms_Stratum_Pricing_Termination_Date__c,Account,Comms_Stratum_Pricing_Termination_Date__c,,,,
Account-Comms_Stratum_Pricing_Type__c,Account,Comms_Stratum_Pricing_Type__c,Account,Comms_Stratum_Pricing_Type__c,,,,
Account-New_Stratum_Client__c,Account,New_Stratum_Client__c,Account,New_Stratum_Client__c,,,,
Account-Force_Create_in_Dynamics__c,Account,Force_Create_in_Dynamics__c,Account,Force_Create_in_Dynamics__c,,,,
Account-AccountBillingAddressD365Id__c,Account,AccountBillingAddressD365Id__c,Account,AccountBillingAddressD365Id__c,,,,
Account-MIA_Cost_Center__c,Account,MIA_Cost_Center__c,Account,MIA_Cost_Center__c,,,,
Account-Comms_Account_Team__c,Account,Comms_Account_Team__c,Account,Comms_Account_Team__c,,,,
Account-Broker_CPG__c,Account,Broker_CPG__c,Account,Broker_CPG__c,,,,
Account-PO_Required_BCC__c,Account,PO_Required_BCC__c,Account,PO_Required_BCC__c,,,,
Account-PO_Required_KPM__c,Account,PO_Required_KPM__c,Account,PO_Required_KPM__c,,,,
Account-PO_Required_Agency__c,Account,PO_Required_Agency__c,Account,PO_Required_Agency__c,,,,
Account-Count_of_Third_Party_CPG_Relationships__c,Account,Count_of_Third_Party_CPG_Relationships__c,Account,Count_of_Third_Party_CPG_Relationships__c,,,,
Account-Prospective_Conversion_Confidence__c,Account,Prospective_Conversion_Confidence__c,Account,Prospective_Conversion_Confidence__c,,,,
Account-Number_of_Stratum_Opportunities__c,Account,Number_of_Stratum_Opportunities__c,Account,Number_of_Stratum_Opportunities__c,,,,
Account-No_of_Closed_Won_Market6__c,Account,No_of_Closed_Won_Market6__c,Account,No_of_Closed_Won_Market6__c,,,,
Account-No_of_Closed_Won_Merch_CI__c,Account,No_of_Closed_Won_Merch_CI__c,Account,No_of_Closed_Won_Merch_CI__c,,,,
Account-No_of_Closed_Won_Merch_Sub__c,Account,No_of_Closed_Won_Merch_Sub__c,Account,No_of_Closed_Won_Merch_Sub__c,,,,
Account-Market6_Customer_ID__c,Account,Market6_Customer_ID__c,Account,Market6_Customer_ID__c,,,,
Account-Non_Billable__c,Account,Non_Billable__c,Account,Non_Billable__c,,,,
Account-Service_Level__c,Account,Service_Level__c,Account,Service_Level__c,,,,
Account-KPM_Investment_Expansion_ask__c,Account,KPM_Investment_Expansion_ask__c,Account,KPM_Investment_Expansion_ask__c,,,,
Account-MFG_Code__c,Account,MFG_Code__c,Account,MFG_Code__c,,,,
Account-KPM_Investment_Expansion_target_value__c,Account,KPM_Investment_Expansion_target_value__c,Account,KPM_Investment_Expansion_target_value__c,,,,
Brand__c-Id,Brand__c,Id,Account,#N/A,TRUE,,,
Brand__c-OwnerId,Brand__c,OwnerId,Account,#N/A,TRUE,,,
Brand__c-IsDeleted,Brand__c,IsDeleted,Account,#N/A,TRUE,,,
Brand__c-Name,Brand__c,Name,Account,#N/A,TRUE,,,
Brand__c-CreatedDate,Brand__c,CreatedDate,Account,#N/A,TRUE,,,
Brand__c-CreatedById,Brand__c,CreatedById,Account,#N/A,TRUE,,,
Brand__c-LastModifiedDate,Brand__c,LastModifiedDate,Account,#N/A,TRUE,,,
Brand__c-LastModifiedById,Brand__c,LastModifiedById,Account,#N/A,TRUE,,,
Brand__c-SystemModstamp,Brand__c,SystemModstamp,Account,#N/A,TRUE,,,
Brand__c-LastViewedDate,Brand__c,LastViewedDate,Account,#N/A,TRUE,,,
Brand__c-LastReferencedDate,Brand__c,LastReferencedDate,Account,#N/A,TRUE,,,
Brand__c-Brand_Code__c,Brand__c,Brand_Code__c,Account,#N/A,TRUE,,,
Brand__c-Kroger_Brand_Code__c,Brand__c,Kroger_Brand_Code__c,Account,#N/A,TRUE,,,
Brand__c-Status__c,Brand__c,Status__c,Account,#N/A,TRUE,,,
Brand__c-Source_Brand__c,Brand__c,Source_Brand__c,Account,ParentId,,,,
Brand__c-X18_Character_Brand_ID__c,Brand__c,X18_Character_Brand_ID__c,Account,#N/A,TRUE,,,
Brand__c-Brand_Source__c,Brand__c,Brand_Source__c,Account,#N/A,TRUE,,,
Client_Brand__c-Id,Client_Brand__c,Id,Account_Relationship__c,Id,,,,
Client_Brand__c-Name,Client_Brand__c,Name,Account_Relationship__c,Name,,,,
Client_Brand__c-Brand__c,Client_Brand__c,Brand__c,Account_Relationship__c,Secondary_Account__r.External_Id__c,,,,
Client_Brand__c-Client__c,Client_Brand__c,Client__c,Account_Relationship__c,Main_Account__r.External_Id__c,,,,
Client_Brand__c-Status__c,Client_Brand__c,Status__c,Account_Relationship__c,SL_Active__c,,,,"{
  ""source"": {
    ""object"": ""Client_Brand__c"",
    ""field"": ""Status__c""
  },
  ""target"": {
    ""object"": ""Account_Relationship__c"",
    ""field"": ""SL_Active__c""
  },
  ""mapping"": {
    ""Active"": true,
    ""Inactive"": false
  }
}"
CPG__c-Id,CPG__c,Id,Account_Relationship__c,Id,,,,
CPG__c-Originating_Opportuntiy__c,CPG__c,Originating_Opportuntiy__c,Account_Relationship__c,Originating_Opportunity__c,,,,
CPG__c-Client_3rd_Party_Type__c,CPG__c,Client_3rd_Party_Type__c,Account_Relationship__c,Secondary_Party_Type__c,,,,
CPG__c-Start_Date__c,CPG__c,Start_Date__c,Account_Relationship__c,SL_StartDate__c,,,,
CPG__c-Broker_Account__c,CPG__c,Broker_Account__c,Account_Relationship__c,Secondary_Account__r.External_Id__c,,,,
CPG__c-Parent_Account__c,CPG__c,Parent_Account__c,Account_Relationship__c,Main_Account__r.External_Id__c,,,,
CPG__c-End_Date__c,CPG__c,End_Date__c,Account_Relationship__c,SL_EndDate__c,,,,
Client_Brand__c-Id,Client_Brand__c,Id,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-IsDeleted,Client_Brand__c,IsDeleted,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-Name,Client_Brand__c,Name,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-CreatedDate,Client_Brand__c,CreatedDate,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-CreatedById,Client_Brand__c,CreatedById,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-LastModifiedDate,Client_Brand__c,LastModifiedDate,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-LastModifiedById,Client_Brand__c,LastModifiedById,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-SystemModstamp,Client_Brand__c,SystemModstamp,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-LastViewedDate,Client_Brand__c,LastViewedDate,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-LastReferencedDate,Client_Brand__c,LastReferencedDate,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-Brand__c,Client_Brand__c,Brand__c,Account_Relationship__c,,TRUE,,,
Client_Brand__c-CPG_Relationship__c,Client_Brand__c,CPG_Relationship__c,Account_Relationship__c,CPG_Relationship__c,,,,
Client_Brand__c-Client__c,Client_Brand__c,Client__c,Account_Relationship__c,#N/A,TRUE,,,
Client_Brand__c-Status__c,Client_Brand__c,Status__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Id,CPG__c,Id,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-IsDeleted,CPG__c,IsDeleted,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Name,CPG__c,Name,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-CreatedDate,CPG__c,CreatedDate,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-CreatedById,CPG__c,CreatedById,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-LastModifiedDate,CPG__c,LastModifiedDate,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-LastModifiedById,CPG__c,LastModifiedById,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-SystemModstamp,CPG__c,SystemModstamp,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-LastActivityDate,CPG__c,LastActivityDate,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-LastViewedDate,CPG__c,LastViewedDate,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-LastReferencedDate,CPG__c,LastReferencedDate,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Parent_Account__c,CPG__c,Parent_Account__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Active__c,CPG__c,Active__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Bill_Agency__c,CPG__c,Bill_Agency__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Broker_Account__c,CPG__c,Broker_Account__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Client_3rd_Party_Type__c,CPG__c,Client_3rd_Party_Type__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Current_Opportunity__c,CPG__c,Current_Opportunity__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Originating_Opportuntiy__c,CPG__c,Originating_Opportuntiy__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Relationship_Agreement_Type__c,CPG__c,Relationship_Agreement_Type__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Client_3rd_Party_Account_Name__c,CPG__c,Client_3rd_Party_Account_Name__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Today__c,CPG__c,Today__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Account_Market6_Customer_ID__c,CPG__c,Account_Market6_Customer_ID__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Client_3rd_Party_Name__c,CPG__c,Client_3rd_Party_Name__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Market6_Customer_ID__c,CPG__c,Market6_Customer_ID__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Client_Third_Party_Account_Record_Type__c,CPG__c,Client_Third_Party_Account_Record_Type__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-X18_Character_Client_3rd_Party_Account_I__c,CPG__c,X18_Character_Client_3rd_Party_Account_I__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-X18_Character_CPG_Account_Id__c,CPG__c,X18_Character_CPG_Account_Id__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-End_Date__c,CPG__c,End_Date__c,Account_Relationship__c,#N/A,TRUE,,,
CPG__c-Start_Date__c,CPG__c,Start_Date__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Id,Creative_Contact__c,Id,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-IsDeleted,Creative_Contact__c,IsDeleted,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Name,Creative_Contact__c,Name,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-CreatedDate,Creative_Contact__c,CreatedDate,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-CreatedById,Creative_Contact__c,CreatedById,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-LastModifiedDate,Creative_Contact__c,LastModifiedDate,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-LastModifiedById,Creative_Contact__c,LastModifiedById,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-SystemModstamp,Creative_Contact__c,SystemModstamp,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Opportunity__c,Creative_Contact__c,Opportunity__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Contact__c,Creative_Contact__c,Contact__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Role__c,Creative_Contact__c,Role__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Data_Warehouse_ID__c,Creative_Contact__c,Data_Warehouse_ID__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Contact_Account_Name__c,Creative_Contact__c,Contact_Account_Name__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Contact_Account_Record_Type__c,Creative_Contact__c,Contact_Account_Record_Type__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Contact_Active_Status__c,Creative_Contact__c,Contact_Active_Status__c,Account_Relationship__c,#N/A,TRUE,,,
Creative_Contact__c-Contact_Email_Address__c,Creative_Contact__c,Contact_Email_Address__c,Account_Relationship__c,#N/A,TRUE,,,
